customer_id,city,signup_date,age,gender
CUST5000,Delhi,2025-05-07,41,Female
CUST5001,Ahmedabad,2025-10-12,38,Female
CUST5002,Mumbai,2023-11-28,19,Male
CUST5003,Chennai,2024-04-05,48,Male
CUST5004,Mumbai,2024-10-15,56,Female
CUST5005,Mumbai,2023-01-28,42,Male
CUST5006,Mumbai,2025-09-28,48,Female
CUST5007,Hyderabad,2023-04-05,24,Female
CUST5008,Chennai,2023-02-11,19,Female
CUST5009,Bengaluru,2023-07-03,49,Female
CUST5010,Ahmedabad,2023-11-26,41,Female
CUST5011,Delhi,2023-12-19,19,Male
CUST5012,Bengaluru,2025-01-28,25,Female
CUST5013,Mumbai,2023-03-24,31,Male
CUST5014,Kolkata,2024-06-13,30,Male
CUST5015,Ahmedabad,2025-04-19,45,Female
CUST5016,Chennai,2024-04-01,27,Male
CUST5017,Pune,2024-07-15,56,Male
CUST5018,Pune,2023-11-09,41,Male
CUST5019,Delhi,2023-03-31,21,Male
CUST5020,Pune,2025-08-19,44,Male
CUST5021,Kolkata,2023-01-10,27,Male
CUST5022,Bengaluru,2023-10-11,29,Male
CUST5023,Mumbai,2025-01-05,56,Male
CUST5024,Kolkata,2024-05-03,50,Male
CUST5025,Chennai,2023-11-03,47,Male
CUST5026,Kolkata,2025-02-01,19,Female
CUST5027,Chennai,2025-07-21,38,Male
CUST5028,Hyderabad,2025-10-28,33,Male
CUST5029,Chennai,2025-06-29,18,Male
CUST5030,Ahmedabad,2025-11-30,18,Female
CUST5031,Chennai,2024-01-24,43,Female
CUST5032,Mumbai,2023-04-22,39,Female
CUST5033,Delhi,2025-09-01,25,Female
CUST5034,Pune,2024-04-22,34,Female
CUST5035,Kolkata,2024-03-19,47,Female
CUST5036,Pune,2025-09-19,37,Female
CUST5037,Bengaluru,2023-06-14,21,Female
CUST5038,Kolkata,2025-04-23,58,Female
CUST5039,Bengaluru,2023-08-07,27,Male
CUST5040,Mumbai,2025-11-04,37,Female
CUST5041,Chennai,2024-09-10,24,Female
CUST5042,Bengaluru,2024-06-22,50,Male
CUST5043,Mumbai,2024-08-28,34,Male
CUST5044,Pune,2025-04-14,29,Female
CUST5045,Pune,2023-03-08,34,Female
CUST5046,Mumbai,2024-07-30,56,Male
CUST5047,Bengaluru,2024-08-05,25,Male
CUST5048,Hyderabad,2023-03-16,50,Male
CUST5049,Mumbai,2023-02-26,45,Female
CUST5050,Mumbai,2023-03-09,39,Male
CUST5051,Hyderabad,2023-08-15,20,Male
CUST5052,Delhi,2024-03-10,43,Female
CUST5053,Chennai,2023-09-14,26,Female
CUST5054,Mumbai,2023-05-28,38,Female
CUST5055,Bengaluru,2025-11-16,39,Female
CUST5056,Ahmedabad,2023-12-31,39,Male
CUST5057,Kolkata,2024-10-06,22,Female
CUST5058,Chennai,2024-01-09,46,Male
CUST5059,Bengaluru,2023-08-26,57,Male
CUST5060,Chennai,2025-03-16,55,Male
CUST5061,Delhi,2023-10-30,39,Male
CUST5062,Mumbai,2023-09-01,31,Male
CUST5063,Pune,2023-05-30,58,Male
CUST5064,Mumbai,2025-02-17,55,Female
CUST5065,Pune,2024-07-27,46,Female
CUST5066,Pune,2024-02-02,34,Female
CUST5067,Hyderabad,2023-06-30,53,Female
CUST5068,Delhi,2025-02-10,32,Male
CUST5069,Kolkata,2025-03-10,48,Male
CUST5070,Hyderabad,2025-02-10,26,Male
