customer_id,last_order_date,frequency,monetary,recency_days,r_score,f_score,m_score,rfm_total,segment
CUST5000,2025-11-14,4,48098.49,229,2,2,3,7,Potential Loyalists
CUST5001,2025-03-03,2,17117.88,485,1,1,1,3,Lost / Churned
CUST5002,2026-01-11,5,30057.91,171,2,2,2,6,Potential Loyalists
CUST5003,2026-03-13,7,38004.86,110,3,3,2,8,Loyal Customers
CUST5004,2024-08-18,1,10541.5,682,1,1,1,3,Lost / Churned
CUST5005,2026-06-10,6,75178.61,21,4,3,4,11,Champions
CUST5006,2025-03-22,3,61143.869999999995,466,1,1,3,5,At Risk
CUST5007,2024-05-17,1,3892.73,775,1,1,1,3,Lost / Churned
CUST5008,2026-02-18,9,83646.76,133,3,4,4,11,Champions
CUST5009,2026-02-12,14,144956.31,139,2,4,4,10,Champions
CUST5010,2026-06-03,6,59781.2,28,4,3,3,10,Champions
CUST5011,2026-06-20,11,122911.16,11,4,4,4,12,Champions
CUST5012,2026-01-23,5,20693.31,159,2,2,1,5,At Risk
CUST5013,2026-05-29,4,36408.46,33,4,2,2,8,Loyal Customers
CUST5014,2026-04-24,11,95123.36,68,3,4,4,11,Champions
CUST5015,2026-04-28,2,12266.64,64,3,1,1,5,At Risk
CUST5016,2026-05-21,10,100481.85,41,4,4,4,12,Champions
CUST5017,2026-01-17,4,49572.71,165,2,2,3,7,Potential Loyalists
CUST5018,2026-01-05,5,37528.57,177,2,2,2,6,Potential Loyalists
CUST5019,2026-05-18,7,73439.88,44,4,3,4,11,Champions
CUST5020,2026-05-30,3,12158.6,32,4,1,1,6,Potential Loyalists
CUST5021,2025-02-08,2,2785.42,508,1,1,1,3,Lost / Churned
CUST5022,2026-06-19,2,16411.75,12,4,1,1,6,Potential Loyalists
CUST5023,2026-02-25,4,43729.76,126,3,2,2,7,Potential Loyalists
CUST5024,2026-03-03,2,13970.480000000001,120,3,1,1,5,At Risk
CUST5025,2026-06-03,4,40856.380000000005,28,4,2,2,8,Loyal Customers
CUST5026,2025-12-06,8,111067.19,207,2,4,4,10,Champions
CUST5027,2025-01-21,1,9282.39,526,1,1,1,3,Lost / Churned
CUST5028,2026-05-11,8,94267.73,51,4,4,4,12,Champions
CUST5029,2025-06-09,1,31859.44,387,1,1,2,4,At Risk
CUST5030,2026-05-21,5,31216.18,41,4,2,2,8,Loyal Customers
CUST5031,2025-10-22,2,18951.84,252,2,1,1,4,At Risk
CUST5032,2026-03-28,2,9567.93,95,3,1,1,5,At Risk
CUST5033,2026-02-18,3,59467.29,133,3,1,3,7,Potential Loyalists
CUST5034,2026-01-17,4,19008.61,165,2,2,1,5,At Risk
CUST5035,2026-01-19,8,133704.03,163,2,4,4,10,Champions
CUST5036,2026-06-04,4,35199.38,27,4,2,2,8,Loyal Customers
CUST5037,2026-01-23,3,39833.33,159,2,1,2,5,At Risk
CUST5038,2026-05-28,3,17197.26,34,4,1,1,6,Potential Loyalists
CUST5039,2026-03-03,5,39319.2,120,3,2,2,7,Potential Loyalists
CUST5040,2026-02-05,4,46436.770000000004,146,2,2,3,7,Potential Loyalists
CUST5041,2025-12-26,7,82636.01,187,2,3,4,9,Loyal Customers
CUST5042,2026-03-13,8,108583.4,110,3,4,4,11,Champions
CUST5043,2025-09-15,4,31530.83,289,1,2,2,5,At Risk
CUST5044,2025-08-24,4,41770.33,311,1,2,2,5,At Risk
CUST5045,2026-05-15,9,110348.97,47,4,4,4,12,Champions
CUST5046,2025-12-01,3,12317.23,212,2,1,1,4,At Risk
CUST5047,2025-05-08,3,18063.07,419,1,1,1,3,Lost / Churned
CUST5048,2025-10-01,1,6554.4,273,2,1,1,4,At Risk
CUST5049,2026-05-17,1,6230.7,45,4,1,1,6,Potential Loyalists
CUST5050,2025-12-18,7,45609.26,195,2,3,3,8,Loyal Customers
CUST5051,2024-08-07,1,17723.58,693,1,1,1,3,Lost / Churned
CUST5052,2025-05-11,1,18457.26,416,1,1,1,3,Lost / Churned
CUST5053,2024-12-15,6,44961.79,563,1,3,3,7,Potential Loyalists
CUST5054,2026-03-10,4,42966.229999999996,113,3,2,2,7,Potential Loyalists
CUST5055,2026-05-18,3,12339.83,44,4,1,1,6,Potential Loyalists
CUST5056,2026-02-02,4,35238.87,149,2,2,2,6,Potential Loyalists
CUST5057,2026-04-22,7,59799.94,70,3,3,3,9,Loyal Customers
CUST5058,2024-04-14,2,6344.7699999999995,808,1,1,1,3,Lost / Churned
CUST5059,2026-05-16,15,164673.43,46,4,4,4,12,Champions
CUST5060,2026-06-17,10,129287.23,14,4,4,4,12,Champions
CUST5061,2024-09-10,2,33746.44,659,1,1,2,4,At Risk
CUST5062,2026-03-09,6,61446.22,114,3,3,3,9,Loyal Customers
CUST5063,2026-03-16,7,45759.87,107,3,3,3,9,Loyal Customers
CUST5064,2026-04-16,4,43086.09,76,3,2,2,7,Potential Loyalists
CUST5065,2026-06-23,9,63509.8,8,4,4,3,11,Champions
CUST5066,2025-04-06,3,40333.189999999995,451,1,1,2,4,At Risk
